IdPedido
01-08-15-SKBO-045-0000001,SPIM
01-09-30-SBBR-123-0000123,SPIM
01-14-20-SEQM-089-0001234,EBCI
02-10-45-SPIM-234-0005678,EBCI
02-15-30-SCEL-156-0009876,UBBB
03-07-15-SLLP-067-0000001,UBBB
03-11-45-SABE-345-0000123,SPIM
03-16-20-SGAS-098-0001234,SPIM
04-09-10-SUAA-178-0005678,EBCI
04-13-25-LATI-267-0009876,EBCI
05-08-40-EDDI-134-0000001,UBBB
05-12-55-LOWW-445-0000123,UBBB
05-17-10-EBCI-087-0001234,SPIM
06-10-30-UMMS-299-0005678,SPIM
06-14-45-LBSF-167-0009876,EBCI
07-09-20-LKPR-378-0000001,EBCI
07-13-35-LDZA-234-0000123,UBBB
07-16-50-EKCH-145-0001234,UBBB
08-08-25-SKBO-067-0005678,SPIM
08-11-40-SBBR-289-0009876,SPIM
09-07-55-SEQM-156-0000001,EBCI
09-12-10-SPIM-334-0000123,EBCI
09-15-25-SCEL-123-0001234,UBBB
10-09-40-SLLP-245-0005678,UBBB
10-14-55-SABE-089-0009876,SPIM
11-08-10-SGAS-367-0000001,SPIM
11-13-25-SUAA-178-0000123,EBCI
11-17-40-LATI-256-0001234,EBCI
12-10-15-EDDI-134-0005678,UBBB
12-15-30-LOWW-445-0009876,UBBB
13-07-20-SKBO-198-0000001,SPIM
13-11-35-SBBR-087-0000123,SPIM
13-15-50-SEQM-276-0001234,EBCI
14-08-45-SPIM-345-0005678,EBCI
14-12-10-SCEL-089-0009876,UBBB
15-09-25-SLLP-234-0000001,UBBB
15-13-40-SABE-156-0000123,SPIM
15-17-55-SGAS-389-0001234,SPIM
16-10-30-SUAA-267-0005678,EBCI
16-14-45-LATI-134-0009876,EBCI
